"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 31 20:51:35 UTC 2024","Thu Oct 31 20:51:43 UTC 2024","7139","KZ - Portal","","Games Area > Search game page","","","GAM-12: Verify game items are loaded automatically when scrolling down to bottom",""
"passed","Thu Oct 31 20:50:57 UTC 2024","Thu Oct 31 20:51:05 UTC 2024","7529","KZ - Portal","","Games Area","","","GAM-2: Verify Popular button displays on top right",""
"skipped","Thu Oct 31 20:50:56 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","1","KZ - Portal","","Deposit Area > Prompt Pay","","","DEP-19: Verify user is able close payment page",""
"passed","Thu Oct 31 20:56:36 UTC 2024","Thu Oct 31 20:56:41 UTC 2024","5243","KZ - Portal","","Withdraw Area","","","WIT-3: Verify user is not able to enter amount less than minimum credit",""
"passed","Thu Oct 31 20:55:02 UTC 2024","Thu Oct 31 20:55:07 UTC 2024","5024","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-7: Verify that Resend button is disabled if count down timer has not end",""
"passed","Thu Oct 31 20:55:07 UTC 2024","Thu Oct 31 20:56:13 UTC 2024","65704","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-8: Verify that Resend button works",""
"skipped","Thu Oct 31 20:50:56 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","0","KZ - Portal","","Deposit Area > Mint","","","DEP-5: Verify Mint deposit method popup displays correctly",""
"passed","Thu Oct 31 20:52:45 UTC 2024","Thu Oct 31 20:52:51 UTC 2024","6696","KZ - Portal","","Profile Area > Transaction History","","","PRO-12: Verify color amount for each transaction",""
"passed","Thu Oct 31 20:55:07 UTC 2024","Thu Oct 31 20:55:12 UTC 2024","5094","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-9: Verify that user cannot register with incorrect OTP code",""
"passed","Thu Oct 31 20:51:58 UTC 2024","Thu Oct 31 20:52:03 UTC 2024","5304","KZ - Portal","","Profile Area","","","PRO-1: Verify that My Profile page displays",""
"passed","Thu Oct 31 20:53:54 UTC 2024","Thu Oct 31 20:54:00 UTC 2024","6590","KZ - Portal","","Profile Area > Bet History","","","PRO-27: Verify that Date popup displays when clicking on Date filter",""
"passed","Thu Oct 31 20:56:46 UTC 2024","Thu Oct 31 20:56:51 UTC 2024","4853","KZ - Portal","","Withdraw Area","","","WIT-7: Verify error disappears after user enters valid amount",""
"passed","Thu Oct 31 20:53:14 UTC 2024","Thu Oct 31 20:53:21 UTC 2024","6650","KZ - Portal","","Profile Area > Transaction History","","","PRO-16: Verify user can filter transaction type: Adjustments",""
"passed","Thu Oct 31 20:54:22 UTC 2024","Thu Oct 31 20:54:28 UTC 2024","5810","KZ - Portal","","Profile Area > Logout","","","PRO-34: Verify that confirm popup displays when clicking on Log out item",""
"passed","Thu Oct 31 20:52:09 UTC 2024","Thu Oct 31 20:52:15 UTC 2024","5163","KZ - Portal","","Profile Area","","","PRO-3: Verify that My profile page displays ID",""
"passed","Thu Oct 31 20:49:22 UTC 2024","Thu Oct 31 20:49:29 UTC 2024","7109","KZ - Portal","","Deposit Area","","","DEP-1: Verify Deposit page displays correctly",""
"passed","Thu Oct 31 20:56:56 UTC 2024","Thu Oct 31 20:57:01 UTC 2024","5445","KZ - Portal","","Withdraw Area","","","WIT-13: Verify user able to refresh amount",""
"passed","Thu Oct 31 20:54:33 UTC 2024","Thu Oct 31 20:54:40 UTC 2024","6152","KZ - Portal","","Profile Area > Language","","","PRO-38: Verify that User can go back to My profile page when clicking on Back icon",""
"passed","Thu Oct 31 20:57:28 UTC 2024","Thu Oct 31 20:57:34 UTC 2024","5248","KZ - Portal","","Withdraw Area","","","WIT-11: Verify percentage progress bar works correctly with 75% value",""
